VENDOR_NAME,MANUFACTURING_SITE
ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),ABBVIE Ludwigshafen Germany
Aurobindo Pharma Limited,"Aurobindo Unit III, India"
MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),Mylan (formerly Matrix) Nashik
CIPLA LIMITED,"Cipla, Goa, India"
ZEPHYR BIOMEDICALS,Not Applicable
"CHEMBIO DIAGNOSTIC SYSTEMS, INC.",Chembio Diagnostics Sys. Inc.
"CHEMBIO DIAGNOSTIC SYSTEMS, INC.",Chembio Diagnostics Sys. Inc.
"SHANGHAI KEHUA BIOENGINEERING CO.,LTD.  (KHB)","KHB Test Kit Facility, Shanghai China"
S. BUYS WHOLESALER,"Aspen-OSD, Port Elizabeth, SA"
S. BUYS WHOLESALER,"BI, Ingelheim, Germany"
"SHANGHAI KEHUA BIOENGINEERING CO.,LTD.  (KHB)","KHB Test Kit Facility, Shanghai China"
"SHANGHAI KEHUA BIOENGINEERING CO.,LTD.  (KHB)","KHB Test Kit Facility, Shanghai China"
BIOLYTICAL LABORATORIES INC.,bioLytical Laboratories
Aurobindo Pharma Limited,"Aurobindo Unit III, India"
S. BUYS WHOLESALER,"Cipla, Goa, India"
S. BUYS WHOLESALER,GSK Mississauga (Canada)
S. BUYS WHOLESALER,Roche Basel
S. BUYS WHOLESALER,"BI, Ingelheim, Germany"
"Orgenics, Ltd",Inverness Japan
INVERNESS MEDICAL INNOVATIONS SOUTH AFRICA (PTY) LTD,Inverness USA
"CHEMBIO DIAGNOSTIC SYSTEMS, INC.",Chembio Diagnostics Sys. Inc.
"Trinity Biotech, Plc","Trinity Biotech, Plc"
Aurobindo Pharma Limited,"Aurobindo Unit III, India"
Aurobindo Pharma Limited,"Aurobindo Unit III, India"
MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.),"MSD, Haarlem, NL"
"Orgenics, Ltd",Inverness Japan
Aurobindo Pharma Limited,"Aurobindo Unit III, India"
"Orgenics, Ltd",Inverness Japan
S. BUYS WHOLESALER,"Aurobindo Unit III, India"
S. BUYS WHOLESALER,"Aurobindo Unit III, India"
S. BUYS WHOLESALER,"Aurobindo Unit III, India"
S. BUYS WHOLESALER,"Aurobindo Unit III, India"
S. BUYS WHOLESALER,GSK Aranda
S. BUYS WHOLESALER,"Cipla, Goa, India"
S. BUYS WHOLESALER,"BMS Meymac, France"
S. BUYS WHOLESALER,"Aurobindo Unit III, India"
S. BUYS WHOLESALER,"Boehringer Ing., Koropi, GR"
BRISTOL-MYERS SQUIBB,"BMS Meymac, France"
S. BUYS WHOLESALER,"MSD Midrand, J'burg, SA"
S. BUYS WHOLESALER,GSK Ware (UK)
S. BUYS WHOLESALER,"BMS Meymac, France"
CIPLA LIMITED,"Cipla, Goa, India"
S. BUYS WHOLESALER,ABBVIE (Abbott) Logis. UK
S. BUYS WHOLESALER,ABBVIE (Abbott) France
S. BUYS WHOLESALER,ABBVIE (Abbott) France
"Orgenics, Ltd",Inverness Japan
"Orgenics, Ltd",Inverness Japan
S. BUYS WHOLESALER,"BMS Meymac, France"
ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),ABBVIE Ludwigshafen Germany
"Trinity Biotech, Plc","Trinity Biotech, Plc"
"Trinity Biotech, Plc","Trinity Biotech, Plc"
ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),ABBVIE Ludwigshafen Germany
MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),Mylan (formerly Matrix) Nashik
BIO-RAD LABORATORIES (FRANCE),Bio-Rad Laboratories
"Orgenics, Ltd",Inverness Japan
Aurobindo Pharma Limited,"Aurobindo Unit III, India"
BIO-RAD LABORATORIES (FRANCE),Bio-Rad Laboratories
CIPLA LIMITED,"Cipla, Goa, India"
BRISTOL-MYERS SQUIBB,"BMS Meymac, France"
S. BUYS WHOLESALER,"BMS Meymac, France"
