PLANTCODE_CONSTRAINT_ID,PLANTPRODCUST_ID,PORT_LOCATION_ID
54278,62074,
54279,62002,
54280,59728,
54281,63124,
54282,60152,
54283,63145,
54284,61111,
54285,61224,
54286,59867,
54287,61494,
54288,60940,
54289,60377,
54290,61030,
54291,60412,
54292,61980,
54293,61416,
54294,62685,
54295,62522,
54296,61861,
54297,62265,
54298,60593,
54299,60426,
54300,60783,
54301,61629,
54302,59253,
54303,59284,
54304,62259,
54305,61966,
54306,61090,
54307,61809,
54308,61559,
54309,62992,
54310,61903,
54311,62100,
54312,62233,
54313,63113,
54314,62017,
54315,61558,
54316,59434,
54317,62351,
54318,60534,
54319,61033,
54320,59664,
54321,62087,
54322,62210,
54323,60804,
54324,61237,
54325,59396,
54326,61875,
54327,62568,
54328,63082,
54329,59363,
54330,59332,
54331,59349,
54332,59371,
54333,60732,
54334,59741,
54335,62436,
54336,61620,
54337,59879,
54338,62739,
54339,62269,
54340,62884,
54341,59619,
54342,61417,
54343,60579,
54344,61308,
54345,62570,
54346,62715,
54347,59816,
54348,60342,
54349,59367,
54350,62385,
54351,60218,
54352,60617,
54353,63002,
54354,62369,
54355,60969,
54356,61485,
54357,62986,
54358,60245,
54359,61240,
54360,59325,
54361,59578,
54362,62516,
54363,60181,
54364,61407,
54365,62830,
54366,60361,
54367,61813,
54368,59755,
54369,62039,
54370,61469,
54371,59743,
54372,59504,
54373,60233,
54374,63103,
54375,62244,
54376,61349,
54377,60162,
54378,59601,
54379,60903,
54380,60209,
54381,59670,
54382,59600,
54383,59285,
54384,60927,
54385,62374,
54386,61112,
54387,60849,
54388,61392,
54389,61338,
54390,61450,
54391,62469,
54392,61921,
54393,60537,
54394,61817,
54395,62099,
54396,59317,
54397,59614,
54398,60586,
54399,60976,
54400,59366,
54401,60948,
54402,59783,
54403,59586,
54404,59744,
54405,61927,
54406,60288,
54407,62267,
54408,62872,
54409,62370,
54410,61218,
54411,60924,
54412,59775,
54413,61567,
54414,62722,
54415,60501,
54416,59898,
54417,61735,
54418,62924,
54419,60556,
54420,61106,
54421,59749,
54422,60554,
54423,63160,
54424,62496,
54425,60451,
54426,60286,
54427,63001,
54428,61427,
54429,62583,
54430,61865,
54431,60574,
54432,62810,
54433,61102,
54434,61811,
54435,62933,
54436,61910,
54437,60576,
54438,62917,
54439,61885,
54440,62467,
54441,62684,
54442,63108,
54443,61285,
54444,60499,
54445,59895,
54446,61513,
54447,62632,
54448,59865,
54449,61644,
54450,61422,
54451,61707,
54452,60496,
54453,62485,
54454,63086,
54455,61072,
54456,61089,
54457,60116,
54458,61348,
54459,62801,
54460,62793,
54461,59259,
54462,61768,
54463,61539,
54464,62786,
54465,60157,
54466,62791,
54467,62217,
54468,61217,
54469,62844,
54470,63000,
54471,63005,
54472,59429,
54473,62288,
54474,62406,
54475,60375,
54476,60294,
54477,62304,
54478,59968,
54479,61013,
54480,60799,
54481,60354,
54482,59215,
54483,61700,
54484,61114,
54485,60523,
54486,61247,
54487,61009,
54488,62230,
54489,60241,
54490,61670,
54491,61790,
54492,61920,
54493,61202,
54494,61819,
54495,61339,
54496,60335,
54497,59243,
54498,62860,
54499,60713,
54500,60570,
54501,62054,
54502,62324,
54503,59735,
54504,61832,
54505,62186,
54506,62974,
54507,59221,
54508,60642,
54509,61301,
54510,62864,
54511,60495,
54512,60712,
54513,61381,
54514,62223,
54515,62923,
54516,63155,
54517,62319,
54518,59223,
54519,62774,
54520,60687,
54521,63063,
54522,62266,
54523,60637,
54524,63104,
54525,62146,
54526,63011,
54527,60160,
54528,60830,
54529,61684,
54530,61346,
54531,62169,
54532,59622,
54533,60129,
54534,60856,
54535,62517,
54536,60616,
54537,61279,
54538,60407,
54539,59346,
54540,60857,
54541,60731,
54542,61230,
54543,60327,
54544,62052,
54545,61374,
54546,62512,
54547,61083,
54548,59292,
54549,61777,
54550,63109,
54551,61298,
54552,60349,
54553,60298,
54554,60855,
54555,60815,
54556,60202,
54557,62975,
54558,61729,
54559,62967,
54560,60395,
54561,62761,
54562,59395,
54563,59506,
54564,59759,
54565,59521,
54566,59529,
54567,62046,
54568,62053,
54569,62979,
54570,59246,
54571,62812,
54572,62593,
54573,62240,
54574,59355,
54575,62479,
54576,61055,
54577,59754,
54578,60796,
54579,61984,
54580,59418,
54581,60533,
54582,61506,
54583,59403,
54584,59831,
54585,63107,
54586,61297,
54587,62790,
54588,60558,
54589,59924,
54590,60836,
54591,62475,
54592,61007,
54593,61674,
54594,62876,
54595,61367,
54596,59558,
54597,61554,
54598,63134,
54599,60770,
54600,61095,
54601,62537,
54602,61739,
54603,63100,
54604,60841,
54605,60142,
54606,60821,
54607,60207,
54608,63138,
54609,59734,
54610,61732,
54611,60109,
54612,61699,
54613,60345,
54614,62881,
54615,62712,
54616,61550,
54617,61947,
54618,60518,
54619,59302,
54620,62733,
54621,61313,
54622,61995,
54623,62638,
54624,60137,
54625,60340,
54626,61390,
54627,61987,
54628,61791,
54629,61866,
54630,61410,
54631,61711,
54632,61254,
54633,60394,
54634,59986,
54635,60709,
54636,62737,
54637,59949,
54638,60995,
54639,60540,
54640,59290,
54641,59256,
54642,60727,
54643,60330,
54644,60527,
54645,62798,
54646,62413,
54647,60887,
54648,59400,
54649,61264,
54650,61080,
54651,63164,
54652,59858,
54653,62262,
54654,59707,
54655,61823,
54656,60232,
54657,61306,
54658,62271,
54659,61476,
54660,60696,
54661,62310,
54662,60949,
54663,62147,
54664,60481,
54665,59297,
54666,63022,
54667,60303,
54668,62874,
54669,60561,
54670,61673,
54671,59893,
54672,59659,
54673,60291,
54674,59392,
54675,61538,
54676,60923,
54677,60531,
54678,59423,
54679,59888,
54680,59945,
54681,60657,
54682,62214,
54683,61208,
54684,61109,
54685,61082,
54686,61022,
54687,61552,
54688,61244,
54689,61643,
54690,61908,
54691,59960,
54692,61068,
54693,63057,
54694,61983,
54695,59861,
54696,62492,
54697,59584,
54698,60688,
54699,62481,
54700,60641,
54701,61209,
54702,62295,
54703,62198,
54704,62839,
54705,62718,
54706,61589,
54707,60414,
54708,62826,
54709,63049,
54710,62970,
54711,61482,
54712,60847,
54713,62934,
54714,62831,
54715,59661,
54716,60312,
54717,61842,
54718,59847,
54719,62270,
54720,60506,
54721,59833,
54722,59796,
54723,60607,
54724,60764,
54725,61734,
54726,61976,
54727,61046,
54728,61590,
54729,61703,
54730,60390,
54731,62727,
54732,60459,
54733,62347,
54734,60183,
54735,61118,
54736,61076,
54737,59411,
54738,62048,
54739,60250,
54740,60992,
54741,61468,
54742,59399,
54743,63156,
54744,62154,
54745,62835,
54746,60569,
54747,63151,
54748,62598,
54749,60381,
54750,60240,
54751,61315,
54752,59961,
54753,59357,
54754,59634,
54755,62134,
54756,60589,
54757,60460,
54758,61010,
54759,62532,
54760,59288,
54761,59516,
54762,61741,
54763,62106,
54764,62991,
54765,60138,
54766,60393,
54767,63039,
54768,62717,
54769,59711,
54770,59710,
54771,61671,
54772,63067,
54773,61566,
54774,62078,
54775,61504,
54776,62109,
54777,62471,
54778,61551,
54779,62045,
54780,60436,
54781,61677,
54782,61904,
54783,62879,
54784,60809,
54785,62327,
54786,62719,
54787,62678,
54788,62113,
54789,62911,
54790,62787,
54791,62877,
54792,61375,
54793,62797,
54794,60289,
54795,60650,
54796,59445,
54797,61555,
54798,60622,
54799,63030,
54800,62833,
54801,61075,
54802,61837,
54803,59260,
54804,61738,
54805,62444,
54806,62629,
54807,60307,
54808,60008,
54809,61593,
54810,63034,
54811,61961,
54812,61275,
54813,62628,
54814,62553,
54815,62360,
54816,62652,
54817,61038,
54818,61527,
54819,62194,
54820,60774,
54821,60416,
54822,62377,
54823,62557,
54824,61804,
54825,62533,
54826,60843,
54827,63031,
54828,61657,
54829,60515,
54830,59917,
54831,61601,
54832,59563,
54833,59353,
54834,60489,
54835,59693,
54836,59701,
54837,60599,
54838,62418,
54839,61498,
54840,61081,
54841,61913,
54842,62432,
54843,59615,
54844,61423,
54845,62845,
54846,62851,
54847,62745,
54848,61949,
54849,62341,
54850,60155,
54851,60535,
54852,61830,
54853,60322,
54854,61395,
54855,62394,
54856,60829,
54857,61329,
54858,61048,
54859,62921,
54860,59377,
54861,60184,
54862,62670,
54863,59637,
54864,61955,
54865,60968,
54866,61105,
54867,61503,
54868,61457,
54869,61041,
54870,62232,
54871,61356,
54872,59799,
54873,62478,
54874,60582,
54875,59569,
54876,59726,
54877,62585,
54878,62821,
54879,60694,
54880,60012,
54881,62221,
54882,60199,
54883,60284,
54884,60973,
54885,62656,
54886,60890,
54887,60397,
54888,62367,
54889,62390,
54890,60418,
54891,60267,
54892,62649,
54893,60306,
54894,62580,
54895,62208,
54896,59683,
54897,60867,
54898,60366,
54899,60588,
54900,62124,
54901,61705,
54902,61962,
54903,61317,
54904,61351,
54905,60302,
54906,59864,
54907,59585,
54908,62639,
54909,61602,
54910,62061,
54911,62060,
54912,62578,
54913,59454,
54914,61256,
54915,62461,
54916,61928,
54917,62195,
54918,61640,
54919,61430,
54920,62318,
54921,61993,
54922,63119,
54923,62161,
54924,60956,
54925,60844,
54926,62577,
54927,63003,
54928,60733,
54929,62268,
54930,60861,
54931,59959,
54932,61291,
54933,61268,
54934,59316,
54935,59263,
54936,62033,
54937,62502,
54938,62346,
54939,60879,
54940,60402,
54941,60371,
54942,59410,
54943,61087,
54944,60105,
54945,61573,
54946,61778,
54947,61243,
54948,62542,
54949,59745,
54950,60314,
54951,60360,
54952,59732,
54953,62766,
54954,61569,
54955,59953,
54956,59668,
54957,60388,
54958,62666,
54959,60899,
54960,61017,
54961,60909,
54962,62738,
54963,62220,
54964,59630,
54965,61591,
54966,62757,
54967,62748,
54968,59897,
54969,61061,
54970,61332,
54971,60293,
54972,59402,
54973,62365,
54974,60547,
54975,60538,
54976,60007,
54977,60379,
54978,59312,
54979,62875,
54980,60769,
54981,61969,
54982,61223,
54983,62686,
54984,62228,
54985,59343,
54986,60125,
54987,62767,
54988,60997,
54989,59227,
54990,62811,
54991,60187,
54992,62363,
54993,59391,
54994,62138,
54995,61915,
54996,59985,
54997,59213,
54998,63083,
54999,62804,
55000,62714,
55001,59648,
55002,60807,
55003,61939,
55004,60136,
55005,61031,
55006,61045,
55007,59792,
55008,61645,
55009,60994,
55010,63131,
55011,62141,
55012,61797,
55013,61667,
55014,60504,
55015,59311,
55016,60859,
55017,63058,
55018,59427,
55019,62273,
55020,59689,
55021,61394,
55022,60609,
55023,61882,
55024,62098,
55101,61232,
55102,60151,
55103,59981,
55104,59549,
55105,60652,
55106,59424,
55107,61785,
55108,59390,
55109,62841,
55110,61891,
55111,61881,
55112,61831,
55113,60597,
55114,60782,
55115,59656,
55116,62337,
55117,60646,
55118,60242,
55119,62206,
55120,61428,
55121,60145,
55122,61486,
55123,61683,
55124,62701,
55125,61944,
55126,62809,
55127,60954,
55128,62256,
55129,62483,
55130,61771,
55131,61205,
55132,61544,
55133,60926,
55134,60153,
55135,61854,
55136,60410,
55137,63068,
55138,60363,
55139,59972,
55140,62490,
55141,62735,
55142,59590,
55143,61449,
55144,59568,
55145,60581,
55146,62034,
55147,60729,
55148,60671,
55149,60124,
55150,61432,
55151,60932,
55152,60955,
55153,60400,
55154,62607,
55155,59658,
55156,62253,
55157,62742,
55158,62417,
55159,60823,
55160,60513,
55161,62473,
55162,60761,
55163,59665,
55164,61062,
55165,61766,
55166,62108,
55167,62734,
55168,61721,
55169,62920,
55170,62958,
55171,60988,
55172,59330,
55173,60341,
55174,61284,
55175,62665,
55176,62450,
55177,60107,
55178,62978,
55179,59998,
55180,59207,
55181,60158,
55182,62229,
55183,60640,
55184,61353,
55185,60457,
55186,63028,
55187,61762,
55188,61761,
55189,59761,
55190,59872,
55191,62356,
55192,59827,
55193,61653,
55194,61938,
55195,61765,
55196,62323,
55197,62596,
55198,62903,
55199,59922,
55200,61808,
55201,63069,
55202,61737,
55203,60929,
55204,59439,
55205,60106,
55206,60530,
55207,59344,
55208,59593,
55209,60603,
55210,62980,
55211,62565,
55212,62375,
55213,59214,
55214,59778,
55215,59817,
55216,59891,
55217,60167,
55218,60913,
55219,59649,
55220,60670,
55221,59596,
55222,63018,
55223,61932,
55224,62792,
55225,60247,
55226,62114,
55227,60446,
55228,62749,
55229,59436,
55230,60656,
